Results Table 1
,Force at Preset point (PIP 1),Displacement at Preset point (PIP 1),Time at Preset point (PIP 1)
,(kN),(mm),(s)
1,"0.15","0.31","5.82"

Raw Data
Time,Force,Displacement,PIP count
(s),(N),(mm),
"2.7800","154.2368","0.3112","0.0000"
"2.8000","154.2237","0.3112","0.0000"
"2.8200","154.3060","0.3112","0.0000"
"2.8400","154.3518","0.3112","0.0000"
"2.8600","154.2641","0.3112","0.0000"
"2.8800","154.4168","0.3112","0.0000"
"2.9000","154.4274","0.3112","0.0000"
"2.9200","154.2409","0.3112","0.0000"
"2.9400","154.2581","0.3112","0.0000"
"2.9600","154.3061","0.3112","0.0000"
"2.9800","154.1860","0.3112","0.0000"
"3.0000","154.2034","0.3112","0.0000"
"3.0200","154.2800","0.3112","0.0000"
"3.0400","154.2669","0.3112","0.0000"
"3.0600","154.2391","0.3112","0.0000"
"3.0800","154.2050","0.3112","0.0000"
"3.1000","154.1810","0.3112","0.0000"
"3.1200","154.1924","0.3112","0.0000"
"3.1400","154.1618","0.3112","0.0000"
"3.1600","154.1318","0.3112","0.0000"
"3.1800","154.2320","0.3112","0.0000"
"3.2000","154.2637","0.3112","0.0000"
"3.2200","154.1080","0.3112","0.0000"
"3.2400","154.1129","0.3112","0.0000"
"3.2600","154.1824","0.3112","0.0000"
"3.2800","154.1337","0.3112","0.0000"
"3.3000","154.0633","0.3112","0.0000"
"3.3200","154.2855","0.3112","0.0000"
"3.3400","154.2888","0.3112","0.0000"
"3.3600","154.0563","0.3112","0.0000"
"3.3800","154.2207","0.3112","0.0000"
"3.4000","154.2569","0.3112","0.0000"
"3.4200","154.1014","0.3112","0.0000"
"3.4400","154.1898","0.3112","0.0000"
"3.4600","154.2376","0.3112","0.0000"
"3.4800","154.1284","0.3112","0.0000"
"3.5000","154.1556","0.3112","0.0000"
"3.5200","154.2321","0.3112","0.0000"
"3.5400","154.2033","0.3112","0.0000"
"3.5600","154.1889","0.3112","0.0000"
"3.5800","154.3547","0.3112","0.0000"
"3.6000","154.3009","0.3112","0.0000"
"3.6200","154.0817","0.3112","0.0000"
"3.6400","154.1377","0.3112","0.0000"
"3.6600","154.2112","0.3112","0.0000"
"3.6800","154.0853","0.3112","0.0000"
"3.7000","154.1751","0.3112","0.0000"
"3.7200","154.2692","0.3112","0.0000"
"3.7400","154.1799","0.3112","0.0000"
"3.7600","154.1671","0.3112","0.0000"
"3.7800","154.2946","0.3112","0.0000"
"3.8000","154.1535","0.3112","0.0000"
"3.8200","154.0124","0.3112","0.0000"
"3.8400","154.1469","0.3112","0.0000"
"3.8600","154.1283","0.3112","0.0000"
"3.8800","154.1180","0.3112","0.0000"
"3.9000","154.2124","0.3112","0.0000"
"3.9200","154.2523","0.3112","0.0000"
"3.9400","154.0492","0.3112","0.0000"
"3.9600","154.0755","0.3112","0.0000"
"3.9800","154.1302","0.3112","0.0000"
"4.0000","154.0813","0.3112","0.0000"
"4.0200","154.0909","0.3112","0.0000"
"4.0400","154.1027","0.3112","0.0000"
"4.0600","154.1239","0.3112","0.0000"
"4.0800","154.1265","0.3112","0.0000"
"4.1000","154.0869","0.3112","0.0000"
"4.1200","154.1623","0.3112","0.0000"
"4.1400","154.2030","0.3112","0.0000"
"4.1600","154.0684","0.3112","0.0000"
"4.1800","154.1252","0.3112","0.0000"
"4.2000","154.1530","0.3112","0.0000"
"4.2200","154.1557","0.3112","0.0000"
"4.2400","154.1062","0.3112","0.0000"
"4.2600","154.1228","0.3112","0.0000"
"4.2800","154.0813","0.3112","0.0000"
"4.3000","154.0288","0.3112","0.0000"
"4.3200","154.0017","0.3112","0.0000"
"4.3400","154.0241","0.3112","0.0000"
"4.3600","154.0123","0.3112","0.0000"
"4.3800","154.1973","0.3112","0.0000"
"4.4000","154.1109","0.3112","0.0000"
"4.4200","153.9878","0.3112","0.0000"
"4.4400","154.0160","0.3112","0.0000"
"4.4600","154.0341","0.3112","0.0000"
"4.4800","153.8770","0.3112","0.0000"
"4.5000","153.7855","0.3112","0.0000"
"4.5200","153.9701","0.3112","0.0000"
"4.5400","154.0390","0.3112","0.0000"
"4.5600","153.9673","0.3112","0.0000"
"4.5800","153.9954","0.3112","0.0000"
"4.6000","154.0115","0.3112","0.0000"
"4.6200","153.9856","0.3112","0.0000"
"4.6400","154.0363","0.3112","0.0000"
"4.6600","153.9702","0.3112","0.0000"
"4.6800","153.9166","0.3112","0.0000"
"4.7000","153.9630","0.3112","0.0000"
"4.7200","154.1298","0.3112","0.0000"
"4.7400","154.1211","0.3112","0.0000"
"4.7600","154.0525","0.3112","0.0000"
"4.7800","153.9979","0.3112","0.0000"
