Results Table 1
,Force at Preset point (PIP 1),Displacement at Preset point (PIP 1),Time at Preset point (PIP 1)
,(kN),(mm),(s)
3,"4.20","0.94","4.78"

Raw Data
Time,Force,Displacement,PIP count
(s),(N),(mm),
"0.0000","200.4517","0.0000","0.0000"
"0.0200","200.4049","0.0000","0.0000"
"0.0400","202.1141","0.0004","0.0000"
"0.0600","211.4926","0.0016","0.0000"
"0.0800","237.5415","0.0040","0.0000"
"0.1000","270.2877","0.0068","0.0000"
"0.1200","291.6634","0.0085","0.0000"
"0.1400","316.3479","0.0106","0.0000"
"0.1600","357.7281","0.0143","0.0000"
"0.1800","413.2446","0.0193","0.0000"
"0.2000","472.2354","0.0248","0.0000"
"0.2200","526.9985","0.0303","0.0000"
"0.2400","573.3325","0.0353","0.0000"
"0.2600","611.3441","0.0399","0.0000"
"0.2800","643.0148","0.0441","0.0000"
"0.3000","671.1868","0.0481","0.0000"
"0.3200","698.2869","0.0520","0.0000"
"0.3400","724.6603","0.0560","0.0000"
"0.3600","750.6959","0.0599","0.0000"
"0.3800","776.4301","0.0639","0.0000"
"0.4000","800.9543","0.0678","0.0000"
"0.4200","824.5190","0.0718","0.0000"
"0.4400","847.7249","0.0758","0.0000"
"0.4600","869.9330","0.0797","0.0000"
"0.4800","891.7992","0.0837","0.0000"
"0.5000","913.7122","0.0878","0.0000"
"0.5200","934.5015","0.0919","0.0000"
"0.5400","954.2454","0.0960","0.0000"
"0.5600","973.1927","0.1000","0.0000"
"0.5800","991.1065","0.1040","0.0000"
"0.6000","1008.5204","0.1079","0.0000"
"0.6200","1025.2946","0.1119","0.0000"
"0.6400","1041.5865","0.1159","0.0000"
"0.6600","1057.8091","0.1200","0.0000"
"0.6800","1073.2184","0.1240","0.0000"
"0.7000","1087.3762","0.1280","0.0000"
"0.7200","1100.7565","0.1319","0.0000"
"0.7400","1113.3185","0.1358","0.0000"
"0.7600","1124.7019","0.1396","0.0000"
"0.7800","1135.2756","0.1436","0.0000"
"0.8000","1145.4635","0.1476","0.0000"
"0.8200","1155.6617","0.1517","0.0000"
"0.8400","1166.1245","0.1558","0.0000"
"0.8600","1177.1688","0.1598","0.0000"
"0.8800","1189.3909","0.1638","0.0000"
"0.9000","1201.5989","0.1679","0.0000"
"0.9200","1212.9294","0.1718","0.0000"
"0.9400","1224.5933","0.1758","0.0000"
"0.9600","1236.6877","0.1799","0.0000"
"0.9800","1248.3499","0.1839","0.0000"
"1.0000","1259.9978","0.1880","0.0000"
"1.0200","1271.7177","0.1919","0.0000"
"1.0400","1283.2823","0.1958","0.0000"
"1.0600","1295.4843","0.1997","0.0000"
"1.0800","1308.1931","0.2037","0.0000"
"1.1000","1320.8380","0.2078","0.0000"
"1.1200","1333.6104","0.2118","0.0000"
"1.1400","1346.0560","0.2159","0.0000"
"1.1600","1358.1790","0.2198","0.0000"
"1.1800","1370.5654","0.2238","0.0000"
"1.2000","1383.0251","0.2278","0.0000"
"1.2200","1395.3141","0.2317","0.0000"
"1.2400","1407.8917","0.2357","0.0000"
"1.2600","1420.5647","0.2398","0.0000"
"1.2800","1433.2518","0.2438","0.0000"
"1.3000","1446.1393","0.2479","0.0000"
"1.3200","1458.7882","0.2519","0.0000"
"1.3400","1471.0441","0.2559","0.0000"
"1.3600","1483.1191","0.2598","0.0000"
"1.3800","1495.4939","0.2638","0.0000"
"1.4000","1508.3118","0.2678","0.0000"
"1.4200","1520.8948","0.2718","0.0000"
