Results Table 1
,Force at Preset point (PIP 1),Displacement at Preset point (PIP 1),Time at Preset point (PIP 1)
,(kN),(mm),(s)
2,"2.39","0.99","5.02"

Raw Data
Time,Force,Displacement,PIP count
(s),(N),(mm),
"0.0000","66.9761","0.0000","0.0000"
"0.0200","67.0330","0.0000","0.0000"
"0.0400","67.7553","0.0004","0.0000"
"0.0600","71.2084","0.0016","0.0000"
"0.0800","80.8431","0.0040","0.0000"
"0.1000","93.3847","0.0067","0.0000"
"0.1200","101.6417","0.0084","0.0000"
"0.1400","111.0805","0.0104","0.0000"
"0.1600","127.3658","0.0140","0.0000"
"0.1800","150.3703","0.0190","0.0000"
"0.2000","176.2211","0.0246","0.0000"
"0.2200","201.4259","0.0301","0.0000"
"0.2400","224.5585","0.0352","0.0000"
"0.2600","245.6447","0.0399","0.0000"
"0.2800","264.6870","0.0441","0.0000"
"0.3000","282.4485","0.0481","0.0000"
"0.3200","300.1921","0.0520","0.0000"
"0.3400","317.8506","0.0559","0.0000"
"0.3600","335.5340","0.0599","0.0000"
"0.3800","353.4853","0.0639","0.0000"
"0.4000","371.3008","0.0679","0.0000"
"0.4200","388.8518","0.0719","0.0000"
"0.4400","406.5816","0.0758","0.0000"
"0.4600","424.1492","0.0798","0.0000"
"0.4800","441.6843","0.0837","0.0000"
"0.5000","459.5626","0.0877","0.0000"
"0.5200","477.3743","0.0917","0.0000"
"0.5400","495.2870","0.0958","0.0000"
"0.5600","513.1951","0.0998","0.0000"
"0.5800","530.8630","0.1038","0.0000"
"0.6000","548.2197","0.1078","0.0000"
"0.6200","565.0622","0.1118","0.0000"
"0.6400","581.8217","0.1158","0.0000"
"0.6600","599.1243","0.1198","0.0000"
"0.6800","616.4977","0.1239","0.0000"
"0.7000","633.2314","0.1279","0.0000"
"0.7200","649.7418","0.1319","0.0000"
"0.7400","666.0114","0.1358","0.0000"
"0.7600","681.9633","0.1397","0.0000"
"0.7800","698.1317","0.1436","0.0000"
"0.8000","714.1779","0.1476","0.0000"
"0.8200","730.1089","0.1516","0.0000"
"0.8400","745.9689","0.1556","0.0000"
"0.8600","761.4762","0.1597","0.0000"
"0.8800","776.7665","0.1637","0.0000"
"0.9000","791.9678","0.1677","0.0000"
"0.9200","806.6298","0.1717","0.0000"
"0.9400","821.0773","0.1757","0.0000"
"0.9600","835.4775","0.1798","0.0000"
"0.9800","849.3491","0.1839","0.0000"
"1.0000","862.6906","0.1879","0.0000"
"1.0200","875.5063","0.1919","0.0000"
"1.0400","887.4269","0.1958","0.0000"
"1.0600","898.6848","0.1997","0.0000"
"1.0800","909.0622","0.2037","0.0000"
"1.1000","918.7346","0.2076","0.0000"
"1.1200","928.2963","0.2117","0.0000"
"1.1400","937.8868","0.2157","0.0000"
"1.1600","947.1909","0.2197","0.0000"
"1.1800","956.4510","0.2237","0.0000"
"1.2000","965.7130","0.2277","0.0000"
"1.2200","974.6786","0.2317","0.0000"
"1.2400","983.7850","0.2357","0.0000"
"1.2600","992.5104","0.2398","0.0000"
"1.2800","1001.1156","0.2438","0.0000"
"1.3000","1009.9388","0.2479","0.0000"
"1.3200","1018.1322","0.2519","0.0000"
"1.3400","1026.0201","0.2558","0.0000"
"1.3600","1034.3409","0.2598","0.0000"
"1.3800","1042.7216","0.2637","0.0000"
"1.4000","1051.1295","0.2677","0.0000"
"1.4200","1059.6255","0.2718","0.0000"
"1.4400","1067.8428","0.2758","0.0000"
"1.4600","1076.0754","0.2799","0.0000"
"1.4800","1084.3732","0.2839","0.0000"
"1.5000","1092.5959","0.2878","0.0000"
"1.5200","1100.8124","0.2918","0.0000"
"1.5400","1109.2549","0.2958","0.0000"
"1.5600","1117.8840","0.2998","0.0000"
"1.5800","1126.7322","0.3039","0.0000"
"1.6000","1135.2347","0.3079","0.0000"
"1.6200","1143.4846","0.3119","0.0000"
"1.6400","1151.8813","0.3158","0.0000"
"1.6600","1160.1891","0.3197","0.0000"
"1.6800","1168.4558","0.3236","0.0000"
"1.7000","1177.2181","0.3276","0.0000"
"1.7200","1185.9263","0.3317","0.0000"
"1.7400","1194.5884","0.3357","0.0000"
"1.7600","1203.3380","0.3398","0.0000"
"1.7800","1211.8433","0.3438","0.0000"
"1.8000","1220.2700","0.3478","0.0000"
"1.8200","1228.8784","0.3518","0.0000"
"1.8400","1237.3560","0.3557","0.0000"
"1.8600","1246.0846","0.3598","0.0000"
"1.8800","1254.9667","0.3639","0.0000"
"1.9000","1263.6516","0.3679","0.0000"
"1.9200","1272.2985","0.3719","0.0000"
"1.9400","1280.8633","0.3758","0.0000"
"1.9600","1289.2390","0.3797","0.0000"
"1.9800","1298.0591","0.3837","0.0000"
"2.0000","1306.5680","0.3877","0.0000"
"2.0200","1314.9231","0.3917","0.0000"
"2.0400","1323.9960","0.3958","0.0000"
"2.0600","1332.8824","0.3998","0.0000"
"2.0800","1341.0382","0.4038","0.0000"
"2.1000","1349.2849","0.4077","0.0000"
"2.1200","1357.9310","0.4117","0.0000"
"2.1400","1366.2822","0.4157","0.0000"
"2.1600","1374.9009","0.4197","0.0000"
"2.1800","1383.7225","0.4238","0.0000"
"2.2000","1392.2168","0.4279","0.0000"
"2.2200","1400.5955","0.4319","0.0000"
"2.2400","1409.0181","0.4358","0.0000"
"2.2600","1417.3612","0.4398","0.0000"
"2.2800","1425.7317","0.4437","0.0000"
"2.3000","1434.3732","0.4477","0.0000"
"2.3200","1443.1216","0.4518","0.0000"
"2.3400","1451.7078","0.4558","0.0000"
"2.3600","1460.2302","0.4598","0.0000"
"2.3800","1468.7290","0.4638","0.0000"
"2.4000","1477.1511","0.4678","0.0000"
"2.4200","1485.3531","0.4717","0.0000"
"2.4400","1493.9091","0.4757","0.0000"
"2.4600","1502.6256","0.4798","0.0000"
"2.4800","1511.2939","0.4838","0.0000"
"2.5000","1519.9551","0.4878","0.0000"
"2.5200","1528.4886","0.4919","0.0000"
"2.5400","1537.1403","0.4958","0.0000"
"2.5600","1546.2091","0.4998","0.0000"
"2.5800","1555.2698","0.5037","0.0000"
"2.6000","1564.1846","0.5077","0.0000"
"2.6200","1573.6182","0.5118","0.0000"
"2.6400","1582.9609","0.5158","0.0000"
"2.6600","1591.7061","0.5198","0.0000"
"2.6800","1600.8141","0.5239","0.0000"
"2.7000","1610.0515","0.5278","0.0000"
"2.7200","1619.2505","0.5318","0.0000"
"2.7400","1628.8361","0.5358","0.0000"
"2.7600","1638.6578","0.5398","0.0000"
"2.7800","1648.4561","0.5439","0.0000"
"2.8000","1658.1044","0.5479","0.0000"
"2.8200","1667.4120","0.5518","0.0000"
"2.8400","1676.7305","0.5558","0.0000"
"2.8600","1685.8649","0.5597","0.0000"
"2.8800","1694.8795","0.5636","0.0000"
"2.9000","1704.1417","0.5676","0.0000"
"2.9200","1713.4150","0.5717","0.0000"
"2.9400","1722.6019","0.5757","0.0000"
"2.9600","1731.7932","0.5798","0.0000"
"2.9800","1740.4484","0.5838","0.0000"
"3.0000","1748.9041","0.5878","0.0000"
"3.0200","1757.7990","0.5918","0.0000"
"3.0400","1766.4631","0.5957","0.0000"
"3.0600","1774.8271","0.5998","0.0000"
"3.0800","1783.5159","0.6038","0.0000"
"3.1000","1791.8341","0.6078","0.0000"
"3.1200","1799.8114","0.6118","0.0000"
"3.1400","1807.9534","0.6158","0.0000"
"3.1600","1815.8352","0.6197","0.0000"
"3.1800","1823.8035","0.6236","0.0000"
"3.2000","1832.1608","0.6276","0.0000"
"3.2200","1840.5270","0.6316","0.0000"
"3.2400","1848.9611","0.6357","0.0000"
"3.2600","1857.4508","0.6398","0.0000"
"3.2800","1865.6130","0.6438","0.0000"
"3.3000","1873.5696","0.6478","0.0000"
"3.3200","1881.5331","0.6518","0.0000"
"3.3400","1889.3263","0.6558","0.0000"
"3.3600","1897.3872","0.6598","0.0000"
"3.3800","1905.6205","0.6638","0.0000"
"3.4000","1913.6534","0.6679","0.0000"
"3.4200","1921.5640","0.6719","0.0000"
"3.4400","1929.0112","0.6758","0.0000"
"3.4600","1936.5430","0.6797","0.0000"
"3.4800","1944.2769","0.6837","0.0000"
"3.5000","1951.8871","0.6877","0.0000"
"3.5200","1959.4379","0.6916","0.0000"
"3.5400","1967.1614","0.6957","0.0000"
"3.5600","1974.6644","0.6997","0.0000"
"3.5800","1981.9912","0.7037","0.0000"
"3.6000","1989.5209","0.7077","0.0000"
"3.6200","1996.8743","0.7117","0.0000"
"3.6400","2004.1298","0.7158","0.0000"
"3.6600","2011.5540","0.7198","0.0000"
"3.6800","2018.7836","0.7239","0.0000"
"3.7000","2025.7715","0.7279","0.0000"
"3.7200","2032.8190","0.7319","0.0000"
"3.7400","2039.7494","0.7358","0.0000"
"3.7600","2046.5055","0.7398","0.0000"
"3.7800","2053.2002","0.7437","0.0000"
"3.8000","2060.0349","0.7477","0.0000"
"3.8200","2067.0291","0.7517","0.0000"
"3.8400","2073.9211","0.7558","0.0000"
"3.8600","2080.7061","0.7598","0.0000"
"3.8800","2087.4578","0.7638","0.0000"
"3.9000","2093.9438","0.7678","0.0000"
"3.9200","2100.2666","0.7717","0.0000"
"3.9400","2106.8118","0.7757","0.0000"
"3.9600","2113.3396","0.7797","0.0000"
"3.9800","2119.8071","0.7838","0.0000"
"4.0000","2126.2805","0.7879","0.0000"
"4.0200","2132.4036","0.7919","0.0000"
"4.0400","2138.4019","0.7958","0.0000"
"4.0600","2144.6111","0.7998","0.0000"
"4.0800","2150.5295","0.8037","0.0000"
"4.1000","2156.7085","0.8077","0.0000"
"4.1200","2163.1553","0.8118","0.0000"
"4.1400","2169.2502","0.8158","0.0000"
"4.1600","2175.2859","0.8198","0.0000"
"4.1800","2181.4514","0.8239","0.0000"
"4.2000","2187.2329","0.8278","0.0000"
"4.2200","2193.0889","0.8318","0.0000"
"4.2400","2198.8997","0.8358","0.0000"
"4.2600","2204.4172","0.8397","0.0000"
"4.2800","2210.6033","0.8438","0.0000"
"4.3000","2216.7593","0.8479","0.0000"
"4.3200","2222.0266","0.8519","0.0000"
"4.3400","2227.3167","0.8558","0.0000"
"4.3600","2232.7917","0.8597","0.0000"
"4.3800","2237.9792","0.8636","0.0000"
"4.4000","2243.3135","0.8676","0.0000"
"4.4200","2249.0520","0.8716","0.0000"
"4.4400","2254.5571","0.8757","0.0000"
"4.4600","2259.8767","0.8798","0.0000"
"4.4800","2265.1104","0.8838","0.0000"
"4.5000","2270.3674","0.8878","0.0000"
"4.5200","2275.5815","0.8918","0.0000"
"4.5400","2280.5686","0.8957","0.0000"
"4.5600","2285.6626","0.8997","0.0000"
"4.5800","2291.0896","0.9037","0.0000"
"4.6000","2296.2793","0.9078","0.0000"
"4.6200","2301.3267","0.9119","0.0000"
"4.6400","2306.1104","0.9159","0.0000"
"4.6600","2310.6394","0.9198","0.0000"
"4.6800","2315.3613","0.9238","0.0000"
"4.7000","2320.2229","0.9278","0.0000"
"4.7200","2324.9822","0.9317","0.0000"
"4.7400","2329.9343","0.9358","0.0000"
"4.7600","2334.6565","0.9398","0.0000"
"4.7800","2339.2429","0.9438","0.0000"
"4.8000","2343.7617","0.9478","0.0000"
"4.8200","2348.1592","0.9518","0.0000"
"4.8400","2352.5332","0.9557","0.0000"
"4.8600","2357.0818","0.9597","0.0000"
"4.8800","2361.5781","0.9638","0.0000"
"4.9000","2366.0269","0.9678","0.0000"
"4.9200","2370.4275","0.9719","0.0000"
"4.9400","2374.5420","0.9758","0.0000"
"4.9600","2378.5371","0.9798","0.0000"
"4.9800","2382.6138","0.9837","0.0000"
"5.0000","2386.7258","0.9877","0.0000"
"5.0200","2391.0103","0.9917","1.0000"
"5.0400","2395.0408","0.9957","1.0000"
"5.0600","2399.0945","0.9998","1.0000"
"5.0800","2403.4194","1.0038","1.0000"
"5.1000","2407.4272","1.0078","1.0000"
"5.1200","2410.9143","1.0118","1.0000"
"5.1400","2414.9304","1.0158","1.0000"
"5.1600","2418.9546","1.0198","1.0000"
"5.1800","2422.6545","1.0238","1.0000"
"5.2000","2426.6665","1.0278","1.0000"
"5.2200","2430.5034","1.0318","1.0000"
"5.2400","2433.8276","1.0358","1.0000"
"5.2600","2437.3472","1.0398","1.0000"
"5.2800","2441.0266","1.0437","1.0000"
"5.3000","2444.6191","1.0477","1.0000"
"5.3200","2448.4453","1.0517","1.0000"
"5.3400","2452.1912","1.0558","1.0000"
"5.3600","2455.6345","1.0598","1.0000"
"5.3800","2459.0706","1.0638","1.0000"
"5.4000","2462.4497","1.0678","1.0000"
"5.4200","2465.7595","1.0718","1.0000"
"5.4400","2469.0027","1.0757","1.0000"
"5.4600","2472.2966","1.0797","1.0000"
"5.4800","2475.8223","1.0836","1.0000"
"5.5000","2479.4263","1.0877","1.0000"
"5.5200","2482.8958","1.0918","1.0000"
"5.5400","2486.1792","1.0958","1.0000"
"5.5600","2489.0957","1.0998","1.0000"
"5.5800","2491.9641","1.1037","1.0000"
"5.6000","2495.1001","1.1077","1.0000"
"5.6200","2498.3457","1.1117","1.0000"
"5.6400","2501.6042","1.1157","1.0000"
